rank_code	ncbi_id	name	mean_percent
S	926	Thiomonas	0
S	92645	Herbaspirillum	0
S	927	Halothiobacillus	0
S	927083	Sandaracinus	0
S	92942	Nostoc	0
S	92945	Ketogulonicigenium	0
S	92947	Ketogulonicigenium	0
S	929813	Gibbsiella	0
S	930166	Pseudomonas	0
S	93064	Sphingomonas	0
S	930802	Nonlabens	0
S	930805	Halioglobus	0
S	930806	Halioglobus	0
S	93218	Pandoraea	0
S	93219	Pandoraea	0
S	93220	Pandoraea	0
S	93221	Pandoraea	0
S	93222	Pandoraea	0
S	93378	Edwardsiella	0
S	93466	Fervidobacterium	0
S	935293	Yersinia	0
S	936456	Desulfurispirillum	0
S	936476	Marinomonas	0
S	938406	Calothrix	0
S	93973	Shewanella	0
S	940	Hydrogenobacter	0
S	940614	Granulicella	0
S	940615	Granulicella	0
