rank_code	ncbi_id	name	mean_percent
S	89154	Corynebacterium	0
S	89184	Ruegeria	0
S	891974	Plautia	0
S	897	Desulfococcus	0
S	899	Desulfomicrobium	0
S	9	Buchnera	0
S	901	Desulfovibrio	0
S	90245	Oligella	0
S	905	Acidaminococcus	0
S	907	Megasphaera	0
S	911045	Pseudovibrio	0
S	911092	Caldanaerobacter	0
S	912	Nitrobacter	0
S	912630	Microbacterium	0
S	913	Nitrobacter	0
S	913109	Pseudoarcobacter	0
S	914150	Kangiella	0
S	915	Nitrosomonas	0
S	916	Nitrosomonas	0
S	91604	Candidatus	0
S	91844	Candidatus	0
S	91915	Asaia	0
S	920	Acidithiobacillus	0
S	921	Starkeya	0
S	92245	Thiomicrospira	0
S	92400	Mycoplasma	0
S	92401	Mycoplasma	0
S	925818	Methylobacterium	0
